Oficina de ventas;Material;Texto Breve Material;Fecha;Mes;Año;Cajas
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;2/7/2008;7;2008;399
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;3/7/2008;7;2008;91
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;4/7/2008;7;2008;332
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;5/7/2008;7;2008;428
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;7/7/2008;7;2008;21
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;8/7/2008;7;2008;334
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;9/7/2008;7;2008;277
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;10/7/2008;7;2008;422
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;11/7/2008;7;2008;266
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;12/7/2008;7;2008;318
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;14/7/2008;7;2008;0
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;15/7/2008;7;2008;589
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;16/7/2008;7;2008;13
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;17/7/2008;7;2008;304
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;18/7/2008;7;2008;375
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;19/7/2008;7;2008;434
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;21/7/2008;7;2008;48
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;22/7/2008;7;2008;536
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;23/7/2008;7;2008;1189
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;24/7/2008;7;2008;981
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;25/7/2008;7;2008;376
Santiago;10017091;CYT TETRA  TINTO(N) 1000 12U CL;26/7/2008;7;2008;193
